Title	Price	Link
LA-L201P LA-L202P For ACER Swift SFX14-41G Motherboard R7 5700U 16G RAM GTX1650	$452.30 to $646.70	https://www.ebay.com/itm/364881583926?_skw=%24gtx+3050&hash=item54f4a31f36:g:8tcAAOSwhPNmOt9R&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fFJVG8JAC3B3Qz1h%2BSA7KqF7PAKgBA5c%2Fa%2FbCVNQsrLIOep3Zj6AhQGC%2BFkSNMqvkL%2FFION0eX2C%2BhjBEWkCGtt%2FTXLMXPbWG39CK8X6a8suPBEVOSCeSGkNzTHSGyArIU84dBebI7mMsze00tBcTtnjOSk%2FmPtqSUgcRdJpNgrsfh4uOxE0QsmjJr62o7N3%2BevR%2BGjFY8Ce8bHMQE%2Bam1TP31hkNPSYGHbdKPd4XfXA%3D%3D%7Ctkp%3ABk9SR8a27MjYZQ
NM-D601 For Lenovo Legion 5-17ACH6 Motherboard W/CPU:R5-5600H RAM:4G GPU:RTX3050	$385.17 to $486.29	https://www.ebay.com/itm/365238929334?_skw=%24gtx+3050&hash=item5509efc7b6:g:XQQAAOSwBZBnPAJW&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fE2reM6uHJiYVSmN1KaZslydFYMH3HFO%2Fvjy%2FC6%2FZ4tyulvkIx9wujdgpj1lzm6xfVpwkmKiBpfe2V1sSNCVyVV7HUlwF%2BU9xyUd%2FGnPcVrTVLDny9Ko6rSRl81RIxgvXPVKlcO5QzM2SQQalTS334%2BynJo0TagvmU5r%2BmLynNwTSZZMXZrbHVOoNWTrzXkN%2B3X07vNH5F%2F6OYXeUyFlTNWoi%2BHLTrsGN8%2FDiV1Mvr%2Fw%3D%3D%7Ctkp%3ABk9SR8a27MjYZQ
DAG3MMB3AA0 For HP VICTUS 16-D Motherboard M54821-601 I5-11260H GTX1650 RTX3050	$315.32 to $425.73	https://www.ebay.com/itm/388186373622?_skw=%24gtx+3050&hash=item5a61b5fdf6:g:LzMAAOSwczpn7Rim&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f2W7vE5Uh9AbvFTThNBP5CfPIQzjk7OBoHgCEXW%2F96BilymJ4FCfn%2BqoUyTJgtko1v9mER5n8%2FZpbZnUxRm9WuRJ7sc0Q8HZ01X4%2FTcm0CAW%2B11Idop9Y27Ic7%2BRLRxF6rtvZeSnuo9s2JYN4tdglDNoyiO%2B%2FXJUC7fplRJzeFuKwqwhlHY05Lr77WUMBA8zvWRiTFgRJ5YmmaH%2F6z1qGUi6M8QIW6Fq2wTYeOcnQoowJE%2B%2BHh5sOn4KpAx5q15xkeVxSZdGoAVQLhCLAW96aF%7Ctkp%3ABk9SR8a27MjYZQ
For Lenovo ideapad 5 Pro-16ACH6 Motherboard CPU R5-5600H UMA&GTX3050 4G RAM 16G	$558.00 to $668.00	https://www.ebay.com/itm/225802260292?_skw=%24gtx+3050&hash=item3492dd0f44:g:VJwAAOSwu~NlHTv6&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eyfOchpLAYyP9cYtZ%2BYG%2FozilTLT9sKXV0iZIWXtAtKKugDWmV065yzlDoJ09v0vhGAnf7Xi5JhJ4eWH9hyHawdplWKfyu3l1B0xP0z5C%2FGqx8vy9NhUkEoiD86d6Iep4j00ITNqC1cjtYna2CjxZ3tFXLsi1pJAOS6wnXJ0cCOlmeOPvNTQ1g0gub7sqLjMdHPmczYPGujGOSV10cUxDq646lg8xAA6Y75FgCfIREWqFr2wUB0gU6irXvfdK8ZuYbCNsv%2FEEX7VPSRRQWPCHE%7Ctkp%3ABFBMxrbsyNhl
NM-D601 For Lenovo Legion 5-15ACH6 R7000P Motherboard R7-5800H RTX3050 4GB	$289.70 to $415.88	https://www.ebay.com/itm/235624911651?_skw=%24gtx+3050&hash=item36dc56d323:g:iNwAAOSwUsRme2MR&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cbToncbFWyBPyDUYiC7RwxB58toK9kEqJdDefe8piQ9mHMdnVH1yitPzdaZ3NW3%2FdX%2BFPEDiPT%2F6yoFakP7nTig1vJiPqfnI9KqexZWhkaRa478K%2FxZNMXtD7m5wsZq8KU7YEPIECLpB7Q2Imbvv%2Bv4VBwGzjR4fu%2BWUy%2Fw%2BHU4EbQEVuDjdCf4QmXXR3L7e5ahkizYADJ6qpk8HcRrq4pL%2FArx8CeIevTibTsvCtzua14YFq0K%2BVNUJE8J%2BaZqodZVze69q329%2F4VIeo%2B8jaC%7Ctkp%3ABFBMxrbsyNhl
NEW CPU GPU Cooling Fan For HP 16-D TPN-Q263 TPN-Q264 60W GTX1650 GTX3050	$20.15 to $32.20	https://www.ebay.com/itm/355933460038?_skw=%24gtx+3050&hash=item52df499646:g:vIkAAOSwmrxiYQ5K&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dHv84sD3jUIsVV1WhhHqV0Mnr%2BLBOeHzOC1OUpVWhMcpaQml60%2BhTG8fbAxxFHJwDRVTiJrzeaNXdJwLDmdM551VXGMRRkf%2FBHsF%2FZJYl6uoN%2Bz4ToC%2BziaicU7%2BTmJKFK3PKR7NeA2yvA%2FJfBuqc3FYE4gDY8%2Bkk4t7uSBnFIKjji7vFO0%2BcYGf3Af9SZx%2Bh0gyPlELZ8fHDWzjldqbkitdPc5%2FZsSa3lfqntZgVilNe0uNdVxpuO1KYDlm3kNmPe%2FlGozhMZQUav5wcTLKp2%7Ctkp%3ABFBMyLbsyNhl
For HP Victus 16-E 16-D Laptop Motherboard With R5 R7 CPU GPU:GTX1650 RTX3050Ti	$405.54 to $669.81	https://www.ebay.com/itm/355835743780?_skw=%24gtx+3050&hash=item52d9768e24:g:D5wAAOSwY5Bmg5pz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1faELOWZvkroihPG41D73%2B3%2FPOiuriYkUv5oaKNZSf3Bp7EEpEcT1GhDa1vpNz%2FnCM2uFFlG99B7QyYdey3zgJKzDvVenPeWKwNXZlimZ8WWGqNf%2FxdO7hzyUIMAerH68GoiuUleLJknpng8hKMG%2BBjgg1IX6WV7Ib%2Fl7LsT1stDBVdasQjQwJH%2FDnn3%2BfEZ6MelXQFMzhkdnLnhSHuU%2Bge%2BauKxb7%2F7CpkzC4XbbMgMlCa4wQPRWXsqsIo8HxCUp6NXRC6gvQjcOKnvip5THHo%7Ctkp%3ABk9SR8i27MjYZQ
Asus Pro15 K6500ZC K6500ZE K6500ZH 16GB I5 I7 12th RTX 3050 3050TI Motherboard	$211.50 to $319.50	https://www.ebay.com/itm/156734104125?_skw=%24gtx+3050&hash=item247e14a23d:g:Em4AAOSwfphm6PSB&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1chstE8NEqETu1vgfFl0bj93EDYe7TipYqzOB%2BbbXrWXzWl%2BO%2BAk4%2BE7tJZGMcKxPKo%2BVCrDtSeEILhKV0RLzHXGFKcV6Ebd6AOtldQHl7nDBUZcGjkq3ALQvGNh7AYZ%2FRLBJbeAiopEoRWsRQtCveYvXvMCxY3hgjcBoqwZndF9uoU%2Fq5hNXnrA204FDSY9XokB8gZUsk17Yz1BtTbFvrKNlxpc7HDCCqyPSEE2yBQNpA0rVbaUaXbGwwFK1ekCdfkOxOfYUb1MGZEnH29VUmF%7Ctkp%3ABk9SR8i27MjYZQ
For DELL G15 5510 Laptop Motherboard I5/I7-10th Gen GTX1650/RTX3050/RTX3050TI	$299.53 to $415.03	https://www.ebay.com/itm/266980035866?_skw=%24gtx+3050&hash=item3e29400d1a:g:C9kAAOSwGjVm2qpu&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cjaAxheah%2FOMNAkb2nfzgGhS7TZUVWXpGdDz1mMeDV2N9W6tSH0Sa5WCs9BuknigyFTAyDX2sM3u1tAFusgT%2F5Hy0IZTmEol4LLKcwzwqXkVHcoKceAT%2BVTU6TaZu0AdWaRj2PKVgIhF%2BF4M%2Fk3olV2eivoDzRiVImfK06euZKdsXn2vlt1ElIt6%2Ft3CbYr5Iz2Igvzg5gNpmYLZASRgNHFieYfRDSDeu9XGZPzBxh6SZ%2Bd3TPcdjWP5nZ2CuE2H652rxwUQmYptbnI2kmlJMO%7Ctkp%3ABk9SR8i27MjYZQ
For HP Laptop Motherboard Victus 16-E 16-D With R5 R7 CPU GPU:GTX1650 RTX3050Ti	$403.51 to $667.77	https://www.ebay.com/itm/405075242757?_skw=%24gtx+3050&hash=item5e505daf05:g:D5wAAOSwY5Bmg5pz&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ecXlogtgve5DCJQ09WuiBPNdpGr5Un0z1Lfks%2BWKsciXyZqtQ%2Ft1Qfn1WrWK7HSk3enHn6NnWFPy1bTEL%2BQxLxcTLxXNTh4ay5pGfjAakw1KGcQfb5ecxlAvjfy3o%2FmiE9eMsmpfOrhsNJHGCGSsqYafpaAin%2BuHVQsXUcbSzcAR0spdDelyjifUu44%2FVS27c8IrH6fcaETujYpaemc2OkTvtFSe4iHkhbYisb%2BGoWGA%3D%3D%7Ctkp%3ABk9SR8i27MjYZQ
